Datum;Auftrag #;Transaktionen;Symbol;Name;ISIN;Anzahl;Stückpreis;Kosten;Aufgelaufene Zinsen;Nettobetrag;Währung Nettobetrag;Nettobetrag in der Währung des Kontos;Saldo;Währung
08-10-2019 15:31:49;65717092;Kauf;TSM;TAIWAN SEMICONDUCTOR MNFTG ADR;US8740391003;560.0;48.20;135.49;0.00;-27'127.54;USD;-27'224.95;66'615.31;CHF
08-10-2019 09:12:00;00000000;Einzahlung;;;;1.0;80'000.00;0.00;0.00;80'000.00;CHF;80'000.00;93'840.26;CHF
07-10-2019 15:30:49;65632958;Kauf;TSM;TAIWAN SEMICONDUCTOR MNFTG ADR;US8740391003;500.0;47.79;130.84;0.00;-24'025.84;USD;-24'025.84;10'423.46;USD
02-10-2019 20:45:48;65597047;Verkauf;GME;GAMESTOP CL A ORD;US36467W1099;2200.0;5.32;67.80;0.00;11'636.20;USD;11'636.20;34'449.30;USD
02-10-2019 20:45:19;65597050;Verkauf;WMT;WALMART ORD;US9311421039;100.0;116.44;67.71;0.00;11'576.29;USD;11'576.29;22'813.10;USD
02-10-2019 20:44:49;65597044;Verkauf;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;400.0;28.26;67.19;0.00;11'236.81;USD;11'236.81;11'236.81;USD
01-10-2019 16:38:51;65555716;Kauf;GME;GAMESTOP CL A ORD;US36467W1099;291.0;5.55;12.38;0.00;-1'627.43;USD;-1'643.50;13'840.26;CHF
01-10-2019 16:38:51;65555716;Kauf;GME;GAMESTOP CL A ORD;US36467W1099;1400.0;5.55;16.61;0.00;-7'786.63;USD;-7'863.50;15'483.76;CHF
01-10-2019 16:38:40;65555716;Kauf;GME;GAMESTOP CL A ORD;US36467W1099;100.0;5.55;0.84;0.00;-555.86;USD;-561.35;23'347.26;CHF
01-10-2019 16:28:40;65555716;Kauf;GME;GAMESTOP CL A ORD;US36467W1099;209.0;5.55;36.74;0.00;-1'196.69;USD;-1'209.85;23'908.61;CHF
01-10-2019 15:30:15;65555897;Kauf;WMT;WALMART ORD;US9311421039;100.0;118.85;63.29;0.00;-11'948.30;USD;-12'099.80;25'118.46;CHF
01-10-2019 15:30:09;65555899;Kauf;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;400.0;29.05;17.43;0.00;-11'637.42;USD;-11'785.05;37'218.26;CHF
26-09-2019 22:16:14;00000000;Fx-Gutschrift Comp.;;;;1.0;1'061.59;0.00;0.00;1'061.59;USD;1'061.59;0.00;USD
26-09-2019 22:16:14;00000000;Fx-Belastung Comp.;;;;1.0;1'067.96;0.00;0.00;-1'067.96;CHF;-1'067.96;49'003.31;CHF
26-09-2019 20:40:29;65509113;Kauf;GME;GAMESTOP CL A ORD;US36467W1099;200.0;5.30;1.59;0.00;-1'061.59;USD;-1'061.59;-1'061.59;USD
26-09-2019 19:14:47;00000000;Einzahlung;;;;1.0;50'000.00;0.00;0.00;50'000.00;CHF;50'000.00;50'071.27;CHF
