Open 0,Close 0,Low 0,High 0,Gain 0,Vola (m) 0,Open 1,Close 1,Low 1,High 1,Gain 1,Vola (m) 1,Open 2,Close 2,Low 2,High 2,Gain 2,Vola (m) 2,Open 3,Close 3,Low 3,High 3,Gain 3,Vola (m) 3,Open 4,Close 4,Low 4,High 4,Gain 4,Vola (m) 4,Open 5,Close 5,Low 5,High 5,Gain 5,Vola (m) 5,Open 6,Close 6,Low 6,High 6,Gain 6,Vola (m) 6,Open 7,Close 7,Low 7,High 7,Gain 7,Vola (m) 7,Open 8,Close 8,Low 8,High 8,Gain 8,Vola (m) 8,Paused Days,Weekday,Day Close,Trend 1d,Day,Trend 3d,Trend 10d,Trend 30d,Trend 90d,Trend 300d,d_ema10,d_ema50,d_ema200
0.96,1.33,0.47,1.36,0.37,0.127,1.37,2.54,0.47,2.54,1.17,3.055,2.42,2.74,1.58,4.53,0.32,2.296,2.99,4.91,2.99,5.58,1.92,1.605,4.86,4.53,4.3,5.39,-0.33,0.77,4.37,5.16,4.05,5.4,0.79,0.725,5.08,4.75,4.7,5.5,-0.33,0.463,4.69,3.96,3.4,4.75,-0.73,1.222,4.0,4.0,3.59,4.15,0.0,0.229,1,1,427.51,0.04004379029315164,2020-12-01,0.12624147106088146,0.16051360008686677,0.38711875405580787,1.159141414141414,,0.11224532425896117,0.3483925366248013,0.8190462393852747
-1.24,-0.99,-1.29,-0.99,0.25,0.0,-0.99,0.3,-1.52,0.35,1.29,3.426,0.35,1.66,-0.26,1.74,1.31,1.194,1.62,1.02,0.72,2.11,-0.6,0.937,0.98,0.66,0.62,1.7,-0.32,0.435,0.69,0.17,0.03,1.12,-0.52,0.23,0.21,1.3,-0.0,1.3,1.09,0.298,1.22,0.81,0.4,1.45,-0.41,0.546,0.76,0.76,0.7,1.17,0.0,0.021,1,2,430.76,0.007602161352950887,2020-12-02,0.10095588611153716,0.2160804020100502,0.4204781533388293,0.971441647597254,,0.09663449222537279,0.33979970099961854,0.8178101612414603
0.06,1.68,0.06,1.68,1.62,0.453,1.79,1.91,0.98,2.18,0.12,2.413,1.67,1.74,1.62,3.37,0.07,1.386,1.81,2.47,1.13,2.59,0.66,0.731,2.61,2.16,1.77,2.92,-0.45,0.443,2.21,0.91,0.83,2.34,-1.3,0.552,0.98,1.3,0.75,1.48,0.32,0.452,1.22,0.08,-0.29,1.65,-1.14,1.074,0.15,0.62,0.15,0.67,0.47,0.306,1,3,433.45,0.006244776673785868,2020-12-03,0.05449458703320764,0.2563768115942029,0.4893653575232795,1.0660152526215443,,0.08310408119567891,0.3300070843994267,0.8141942099551656
0.96,1.11,0.36,1.11,0.15,0.735,0.92,2.24,0.28,2.37,1.32,2.113,2.34,3.96,2.0,4.33,1.62,1.241,4.17,6.11,3.98,6.45,1.94,0.897,6.17,6.93,5.83,6.94,0.76,0.885,6.97,6.92,6.52,7.32,-0.05,0.553,6.91,6.94,6.43,7.33,0.03,0.681,7.08,7.88,6.74,7.95,0.8,0.945,7.81,7.28,6.9,7.81,-0.53,0.012,1,4,465.0,0.07278809551274668,2020-12-04,0.08769385511450034,0.2847078325735599,0.597938144329897,1.0579774286346537,,0.1287076674081451,0.4033270567305971,0.9280922253961743
0.5,2.15,0.5,3.01,1.65,0.483,2.37,-0.15,-1.01,2.37,-2.52,3.82,-0.15,0.47,-0.22,1.4,0.62,1.045,0.64,1.55,0.64,1.77,0.91,0.554,1.42,1.36,0.81,1.72,-0.06,0.387,1.27,1.4,0.6,1.51,0.13,0.446,1.31,1.02,0.86,1.31,-0.29,0.251,0.91,1.88,0.73,2.15,0.97,0.692,1.81,1.72,1.29,2.36,-0.09,0.049,3,0,473.0,0.017204301075268713,2020-12-07,0.0980592441266599,0.311884620718347,0.627610887443653,0.9957805907172996,,0.11801583181020181,0.4039353882450114,0.942682311552204
0.0,-0.59,-1.96,0.0,-0.59,0.982,-0.26,0.01,-0.67,0.34,0.27,1.988,0.21,0.01,-1.56,0.42,-0.2,1.1,-0.11,0.1,-0.77,0.13,0.21,0.484,0.13,0.21,-0.18,0.36,0.08,0.392,0.16,1.68,-0.02,1.75,1.52,0.484,1.64,1.93,1.5,2.35,0.29,0.489,1.96,1.33,0.99,2.01,-0.63,0.423,1.35,1.48,1.35,1.48,0.13,0.0,1,1,480.02,0.014841437632135301,2020-12-08,0.10744030453339493,0.2610534611848154,0.7583150183150182,1.1192935982339955,,0.10750339471012782,0.40142722825219224,0.9526387203712066
-0.42,-1.2,-1.25,-0.42,-0.78,0.367,-0.84,0.27,-2.81,0.5,1.11,3.093,0.35,-0.58,-1.74,0.46,-0.93,1.303,-0.57,-1.89,-2.42,-0.45,-1.32,0.935,-1.82,-5.66,-6.95,-1.77,-3.84,1.811,-5.66,-9.32,-9.46,-5.18,-3.66,1.9,-9.34,-7.75,-9.34,-7.14,1.59,1.795,-7.98,-8.92,-10.57,-7.53,-0.94,2.075,-8.67,-8.75,-9.17,-8.65,-0.08,0.03,1,2,438.0,-0.08753801924919791,2020-12-09,-0.058064516129032295,0.13471502590673579,0.6367713004484303,0.837710062217814,,0.008619156826290997,0.2649217797511132,0.767957079616848
1.14,-1.87,-2.95,1.6,-3.01,1.279,-1.99,0.24,-3.65,0.66,2.23,4.6,0.15,1.71,-0.34,1.83,1.56,2.185,1.83,0.34,0.11,2.13,-1.49,1.135,0.32,-0.34,-0.4,1.15,-0.66,0.691,-0.33,0.32,-0.38,0.79,0.65,0.648,0.24,-0.29,-0.38,0.27,-0.53,0.494,-0.25,-0.23,-0.5,0.91,0.02,0.785,-0.1,-1.14,-1.14,0.07,-1.04,0.507,1,3,433.0,-0.011415525114155223,2020-12-10,-0.08456659619450313,0.14070444426881634,0.7565922920892494,0.7404236504682664,,-0.002369687614350413,0.23831825014025432,0.7348665658550348
-1.13,-1.62,-2.08,-1.13,-0.49,0.939,-1.57,-1.79,-3.62,-1.39,-0.22,4.252,-1.84,-2.92,-3.59,-0.03,-1.08,1.808,-2.94,-4.67,-5.08,-2.51,-1.73,1.423,-4.57,-4.45,-5.54,-4.08,0.12,1.068,-4.49,-2.99,-4.57,-2.5,1.5,0.897,-3.07,-3.02,-3.48,-2.54,0.05,0.603,-2.94,-2.32,-3.28,-2.07,0.62,0.856,-2.44,-2.08,-2.44,-1.91,0.36,0.003,1,4,424.0,-0.020785219399538146,2020-12-11,-0.11670347068872122,0.08367837243776521,0.6627450980392158,0.7165991902834008,,-0.018984378704380633,0.2025544954364764,0.6870762308975091
1.07,2.41,0.24,3.07,1.34,0.997,2.55,4.36,1.89,4.59,1.81,3.522,4.34,2.48,2.48,4.95,-1.86,1.738,2.69,2.9,2.42,4.01,0.21,0.987,2.8,2.79,2.59,3.39,-0.01,0.3,3.05,4.01,2.08,4.25,0.96,0.756,4.16,4.62,3.42,4.84,0.46,0.829,4.6,3.29,3.14,5.01,-1.31,1.344,3.39,4.16,3.12,4.18,0.77,0.079,3,0,441.65,0.04162735849056598,2020-12-14,0.008333333333333304,0.0744434983578639,0.7808467741935483,0.7765486725663717,,0.01780873219130097,0.2403264698839842,0.7441618518025312
0.76,2.56,0.76,3.02,1.8,0.895,2.85,3.02,2.57,4.23,0.17,3.564,2.94,3.06,2.16,3.79,0.12,1.429,2.98,1.44,1.04,3.0,-1.54,1.035,1.64,2.59,1.64,2.74,0.95,0.357,2.38,2.62,2.01,2.85,0.24,0.369,2.47,3.17,2.11,3.23,0.7,0.401,3.2,3.43,2.47,3.43,0.23,0.684,3.39,3.25,2.83,3.93,-0.14,0.432,1,1,456.0,0.03249179214309983,2020-12-15,0.053117782909930744,0.06664171598325197,0.7770849571317224,0.893845003737852,,0.0412468407500175,0.2666870386899187,0.7865963291514912
1.32,0.99,0.99,1.47,-0.33,0.333,1.02,-1.54,-1.8,1.06,-2.56,3.253,-1.61,-1.0,-2.32,-0.55,0.61,1.01,-0.82,-0.14,-1.14,-0.01,0.68,0.66,-0.23,-0.68,-1.09,-0.21,-0.45,0.309,-0.66,-1.01,-1.35,-0.66,-0.35,0.203,-0.88,-0.01,-1.75,0.11,0.87,0.609,-0.1,-0.09,-0.27,0.69,0.01,0.769,-0.08,0.66,-0.08,0.66,0.74,0.0,1,2,459.0,0.006578947368421018,2020-12-16,0.08254716981132071,0.0655585476831646,0.7126865671641791,0.9127390923865484,,0.039011063486914965,0.2614159859402114,0.7841771352926483
0.26,1.09,0.26,1.09,0.83,0.095,1.04,-0.33,-0.4,1.28,-1.37,2.476,-0.21,-0.78,-1.04,0.35,-0.57,1.401,-0.73,-0.56,-1.37,0.04,0.17,0.537,-0.53,-0.1,-1.2,0.05,0.43,0.381,-0.23,-0.22,-0.59,0.05,0.01,0.363,-0.32,-0.58,-0.7,-0.1,-0.26,0.256,-0.66,-0.14,-1.3,-0.11,0.52,0.538,-0.2,-1.0,-1.0,-0.2,-0.8,0.012,1,3,454.4,-0.010021786492374729,2020-12-17,0.02886901392505381,0.048333141077402164,0.48545276234063417,0.921353065539112,,0.02327758622319198,0.23670918672335017,0.7529306757714274
0.12,1.23,0.12,1.23,1.11,0.588,1.45,0.33,-0.23,1.73,-1.12,1.639,0.3,1.06,-0.17,1.56,0.76,0.974,1.23,0.57,-0.05,1.32,-0.66,0.743,0.59,1.33,0.43,1.83,0.74,0.385,1.52,1.56,1.11,1.89,0.04,0.326,1.4,0.37,0.25,1.59,-1.03,0.364,0.37,-0.42,-2.43,0.56,-0.79,2.259,-0.51,-0.09,-0.51,0.27,0.42,0.357,1,4,454.0,-0.0008802816901407606,2020-12-18,-0.004385964912280715,-0.023655913978494647,0.3883792048929664,0.7874015748031495,,0.018234116404494127,0.22430790358965713,0.7383905373326349
-5.97,-4.34,-6.61,-3.74,1.63,0.612,-4.3,-4.55,-5.51,-3.3,-0.25,4.29,-4.62,-5.63,-6.94,-4.3,-1.01,2.629,-5.72,-4.19,-6.13,-3.59,1.53,1.083,-4.02,-3.2,-4.32,-2.7,0.82,0.562,-3.16,-2.06,-3.47,-1.91,1.1,0.598,-2.16,-2.33,-2.6,-1.89,-0.17,0.437,-2.31,-2.32,-3.52,-2.14,-0.01,0.899,-2.38,-2.53,-2.64,-2.2,-0.15,0.242,3,0,442.5,-0.025330396475770955,2020-12-21,-0.03594771241830064,-0.06448202959830862,0.2571022727272727,0.7664670658682635,,-0.006192456759027576,0.18431830157462126,0.6827303993856824
0.58,3.4,0.58,3.4,2.82,0.738,0.68,0.1,-0.44,1.09,-0.58,2.154,-0.11,-0.55,-1.14,0.66,-0.44,1.043,-0.51,-1.69,-2.53,0.29,-1.18,1.314,-1.5,-0.92,-1.92,-0.78,0.58,0.367,-0.84,-0.21,-0.96,0.03,0.63,0.224,-0.13,-0.27,-0.6,0.11,-0.14,0.265,-0.27,-0.07,-0.79,0.12,0.2,0.454,-0.23,-0.23,-0.23,-0.23,0.0,0.0,1,1,441.5,-0.002259887005649719,2020-12-22,-0.02838908450704225,-0.08024665638931705,0.3020142145153206,0.7876665182005911,,-0.006914713012671214,0.17328432443387487,0.6676617321671636
0.0,0.03,-0.07,0.03,0.03,0.086,0.65,0.31,-0.7,1.24,-0.34,2.054,0.34,-0.08,-0.72,0.79,-0.42,0.642,0.22,0.5,-0.19,0.57,0.28,0.372,0.36,0.15,-0.18,0.36,-0.21,0.212,0.08,0.7,0.03,0.9,0.62,0.276,0.69,0.06,0.04,0.79,-0.63,0.22,0.02,-2.09,-2.21,0.1,-2.11,0.707,-2.08,-2.04,-2.51,-1.13,0.04,0.0,1,2,432.5,-0.020385050962627438,2020-12-23,-0.04735682819383258,-0.01255707762557079,0.4047680914642069,0.6833378741291403,,-0.0223311125037553,0.1426736254259593,0.6234304101000954
0.88,1.16,0.4,1.16,0.28,0.0,1.16,2.07,0.94,2.23,0.91,2.186,1.88,1.16,1.05,2.14,-0.72,0.543,1.07,1.41,0.68,1.64,0.34,0.275,0.98,2.72,0.93,2.87,1.74,0.468,2.85,2.76,2.19,2.85,-0.09,2.22,,,,,,,2.85,2.67,2.67,2.85,-0.18,0.439,2.43,2.85,2.43,2.85,0.42,0.0,1,3,444.81,0.028462427745664654,2020-12-24,0.005220338983050743,0.02727482678983839,0.28930434782608705,0.7581422924901187,,0.004492007680099386,0.16717783493285254,0.6585859290494522
1.42,3.26,0.78,3.26,1.84,0.682,3.26,2.77,1.81,3.64,-0.49,2.461,2.74,1.61,0.12,3.03,-1.13,1.512,1.55,0.08,0.0,1.86,-1.47,0.586,0.04,-0.2,-0.21,0.65,-0.24,0.463,-0.1,-0.46,-0.48,0.04,-0.36,0.381,-0.41,-0.24,-0.77,-0.18,0.17,0.238,-0.25,-0.54,-0.96,-0.12,-0.29,0.52,-0.57,-0.18,-0.75,-0.18,0.39,0.006,4,0,444.0,-0.001821002225669388,2020-12-28,0.005662514156285381,0.04716981132075482,0.3375508359692725,0.812023017589683,,0.0021776211123611944,0.15755992909865912,0.6448363053974073
0.47,0.68,0.45,0.72,0.21,0.0,0.9,-1.12,-1.24,0.9,-2.02,1.734,-1.2,-1.52,-3.18,-0.77,-0.32,1.711,-1.53,-3.1,-3.44,-1.36,-1.57,0.638,-3.1,-1.95,-4.45,-1.24,1.15,1.518,-2.03,-1.66,-2.36,-1.58,0.37,0.446,-1.65,-1.74,-2.57,-1.6,-0.09,0.337,-1.63,-1.16,-1.72,-0.55,0.47,0.592,-1.15,-1.1,-1.15,0.4,0.05,0.788,1,1,439.11,-0.011013513513513429,2020-12-29,0.01528323699421974,-0.005751160421147872,0.2876370887337987,0.814504132231405,,-0.007260685316776372,0.1383466073599775,0.616639468491107
1.11,0.89,0.89,1.15,-0.22,0.011,1.36,4.19,1.11,4.25,2.83,3.155,4.11,4.64,3.39,5.08,0.53,1.355,4.4,4.71,4.16,5.04,0.31,0.475,4.75,5.33,4.57,5.33,0.58,0.383,5.36,4.95,4.93,5.52,-0.41,0.232,4.98,4.88,4.78,5.44,-0.1,0.363,4.89,5.06,4.17,5.33,0.17,0.564,5.11,5.11,5.0,5.44,0.0,0.0,1,2,461.57,0.05114891485049289,2020-12-30,0.03767900901508514,0.012214912280701817,0.2529724740756827,0.8771401846354061,,0.035325199741292446,0.18741835148346908,0.6875857646356784
0.37,-0.1,-0.1,0.37,-0.47,0.002,0.01,-1.22,-1.93,0.29,-1.23,2.523,-1.14,1.12,-1.42,1.34,2.26,0.932,1.12,-0.43,-0.5,1.12,-1.55,0.625,-0.31,0.37,-0.45,0.4,0.68,0.164,0.21,-0.11,-0.36,0.31,-0.32,0.199,-0.24,0.55,-0.34,0.79,0.79,0.402,0.53,1.07,0.27,1.28,0.54,0.559,1.06,1.06,0.42,1.28,0.0,1.513,1,3,466.48,0.010637606430227375,2020-12-31,0.05063063063063078,0.016296296296296253,0.316921687087121,0.8430659818253656,,0.03759662609344683,0.19070843296501971,0.6936477647501016
0.75,1.83,0.75,2.25,1.08,0.333,1.84,7.29,1.73,7.87,5.45,4.463,7.39,2.43,2.41,8.22,-4.96,2.557,2.32,-1.12,-1.17,3.0,-3.44,2.797,-1.16,-1.22,-3.76,-0.79,-0.06,2.444,-1.35,-0.18,-1.74,0.06,1.17,1.207,-0.19,-1.7,-3.04,-0.12,-1.51,1.108,-1.76,-1.39,-2.62,-0.75,0.37,0.934,-1.38,-1.38,-1.55,-1.17,0.0,0.252,4,0,460.04,-0.013805522208883536,2021-01-04,0.04766459429300185,0.01241197183098608,0.33344927536231883,0.7627404398804505,,0.01896055119772755,0.16629944988110523,0.659200344570144
0.0,-0.49,-1.25,0.53,-0.49,1.029,-0.71,3.92,-0.73,4.42,4.63,4.012,4.13,3.38,3.32,5.34,-0.75,1.949,3.49,3.56,2.93,4.34,0.07,0.648,3.6,3.32,2.42,4.16,-0.28,0.622,3.3,4.1,3.3,4.15,0.8,0.337,4.23,4.3,4.12,5.05,0.07,0.53,4.24,5.94,3.93,5.99,1.7,0.907,5.79,6.07,5.23,6.07,0.28,0.016,1,1,487.97,0.06071211199026183,2021-01-05,0.057196091600407284,0.07482378854625549,0.3481696366901508,0.8624809160305345,,0.06517086105490977,0.22571086276439356,0.7467259784402485
-4.44,-3.27,-5.71,-3.07,1.17,0.809,-3.08,-1.5,-3.83,-0.2,1.58,5.261,-1.6,1.24,-2.73,1.76,2.84,1.799,1.04,1.57,0.48,1.77,0.53,0.811,1.64,2.07,1.5,2.92,0.43,0.963,2.09,3.72,1.05,5.01,1.63,2.21,3.79,0.87,-0.39,4.09,-2.92,2.495,0.8,-0.94,-1.46,1.34,-1.74,2.396,-1.0,1.23,-1.0,1.23,2.23,0.046,1,2,493.95,0.012254851732688365,2021-01-06,0.05888784085062593,0.11627118644067802,0.3699902926085148,0.9472148854811369,,0.06310425157640442,0.22912822995000393,0.7547203381334977
0.64,1.85,0.64,2.04,1.21,0.02,2.17,4.66,2.08,4.69,2.49,3.641,4.83,7.06,4.4,7.1,2.23,1.686,7.08,6.26,6.24,7.91,-0.82,1.121,6.49,6.97,5.99,7.2,0.48,0.566,6.99,7.29,6.21,7.62,0.3,0.578,7.45,7.35,7.11,7.62,-0.1,0.302,7.25,8.93,7.25,9.69,1.68,1.266,8.58,9.32,8.57,10.11,0.74,0.16,1,3,539.99,0.09320781455612925,2021-01-07,0.17378923571863303,0.22308040770101933,0.41859976356232775,1.0194846478925914,,0.12890276381332422,0.32582295779680903,0.9009053104217943
1.4,4.26,1.4,4.63,2.86,0.551,4.19,2.88,2.61,5.4,-1.31,5.747,3.36,1.91,-0.32,3.57,-1.45,2.782,2.11,1.0,0.37,2.23,-1.11,1.22,0.93,0.31,0.09,1.75,-0.62,0.579,0.24,-2.41,-3.81,0.41,-2.65,2.086,-2.34,-1.08,-2.42,-0.39,1.26,1.119,-1.02,-0.33,-1.94,-0.33,0.69,1.163,-0.59,-0.17,-2.12,0.18,0.42,0.0,1,4,539.0601,-0.0017220689272022804,2021-01-08,0.10469926429903476,0.2463817341040464,0.39652875647668395,1.0129204630321134,,0.10153161741187744,0.306957339850745,0.8808328610005458
