,Mkt-RF,SMB,HML,RF
200512    ,2.58    ,2.28   ,-0.62    ,0.32
200601    ,4.52    ,2.68    ,1.20    ,0.35
200602   ,-0.46   ,-0.68    ,1.42    ,0.34
200603    ,2.43    ,2.00    ,0.44    ,0.37
200604    ,2.88    ,0.34    ,1.29    ,0.36
200605   ,-4.12   ,-2.28    ,1.14    ,0.43
200606   ,-0.59   ,-1.64    ,0.10    ,0.40
200607   ,-0.25   ,-2.99    ,2.40    ,0.40
200608    ,2.23    ,0.19   ,-0.74    ,0.42
200609    ,0.60   ,-1.47    ,0.50    ,0.41
200610    ,3.33    ,0.50   ,-0.32    ,0.41
200611    ,2.30    ,0.34    ,0.41    ,0.42
200612    ,1.85   ,-0.17    ,1.23    ,0.40
200701    ,0.93    ,0.90    ,0.18    ,0.44
200702   ,-0.55    ,1.46    ,0.81    ,0.38
200703    ,1.76    ,0.13    ,0.53    ,0.43
200704    ,3.71   ,-0.93    ,0.29    ,0.44
200705    ,2.49   ,-0.86    ,0.52    ,0.41
200706   ,-0.79    ,1.04    ,0.06    ,0.40
200707   ,-2.38    ,0.30   ,-0.97    ,0.40
200708   ,-1.15   ,-3.53   ,-0.43    ,0.42
200709    ,4.43   ,-2.14   ,-1.55    ,0.32
200710    ,3.18    ,0.84   ,-2.68    ,0.32
200711   ,-4.66   ,-3.56   ,-0.63    ,0.34
200712   ,-1.52   ,-0.76    ,0.62    ,0.27
200801   ,-7.86   ,-1.06    ,2.63    ,0.21
200802   ,-0.04    ,2.11   ,-0.86    ,0.13
200803   ,-1.25   ,-0.87    ,1.64    ,0.17
200804    ,4.91   ,-2.83   ,-0.35    ,0.18
200805    ,1.84    ,1.71   ,-1.39    ,0.18
200806   ,-8.05    ,1.20   ,-1.12    ,0.17
200807   ,-2.79   ,-0.37    ,1.89    ,0.15
200808   ,-2.09   ,-0.48    ,0.17    ,0.13
200809  ,-12.29   ,-1.18    ,2.25    ,0.15
200810  ,-19.52   ,-2.79    ,0.07    ,0.08
200811   ,-6.53   ,-0.57   ,-1.41    ,0.03
200812    ,4.43    ,2.26    ,0.35    ,0.00
200901   ,-8.54    ,2.23   ,-4.61    ,0.00
200902   ,-9.94    ,1.05   ,-4.07    ,0.01
200903    ,7.28   ,-1.27   ,-0.11    ,0.02
200904   ,11.42    ,1.64    ,2.67    ,0.01
200905    ,9.96    ,1.63   ,-0.07    ,0.00
200906   ,-0.26    ,2.85   ,-1.64    ,0.01
200907    ,8.62   ,-1.37    ,3.94    ,0.01
200908    ,3.88    ,0.79    ,4.70    ,0.01
200909    ,4.46    ,1.65    ,0.45    ,0.01
200910   ,-2.11   ,-0.47   ,-2.15    ,0.00
200911    ,3.65   ,-2.41   ,-1.45    ,0.00
200912    ,1.94    ,0.68    ,0.75    ,0.01
201001   ,-3.73    ,2.56   ,-0.08    ,0.00
201002    ,1.29   ,-0.01    ,0.14    ,0.00
201003    ,6.24   ,-0.19    ,3.07    ,0.01
201004    ,0.49    ,3.81    ,0.73    ,0.01
201005   ,-9.54    ,0.14   ,-2.43    ,0.01
201006   ,-3.15    ,0.29   ,-2.74    ,0.01
201007    ,8.21   ,-1.60    ,1.41    ,0.01
201008   ,-3.90   ,-0.22   ,-1.83    ,0.01
201009    ,9.85    ,1.48   ,-1.55    ,0.01
201010    ,3.94   ,-0.02   ,-1.23    ,0.01
201011   ,-2.17    ,2.10   ,-0.72    ,0.01
201012    ,7.60    ,2.08    ,1.79    ,0.01
201101    ,2.13   ,-1.63    ,2.78    ,0.01
201102    ,3.49    ,0.18    ,0.41    ,0.01
201103   ,-0.68    ,1.32   ,-1.56    ,0.01
201104    ,4.47   ,-0.69   ,-1.83    ,0.00
201105   ,-2.10   ,-0.50   ,-1.37    ,0.00
201106   ,-1.52   ,-0.42    ,0.60    ,0.00
201107   ,-1.70    ,1.31   ,-2.15    ,0.00
201108   ,-7.52   ,-0.63   ,-1.81    ,0.01
201109   ,-9.20   ,-1.33    ,0.74    ,0.00
201110   ,10.01   ,-2.06   ,-1.93    ,0.00
201111   ,-2.64   ,-1.04   ,-0.81    ,0.00
201112   ,-0.44   ,-0.46    ,1.82    ,0.00
201201    ,5.61    ,2.13   ,-0.89    ,0.00
201202    ,4.93   ,-0.77   ,-0.23    ,0.00
201203    ,1.23   ,-0.38    ,0.06    ,0.00
201204   ,-1.11    ,0.23   ,-1.77    ,0.00
201205   ,-8.88   ,-0.53    ,0.06    ,0.01
201206    ,4.85   ,-1.51    ,1.35    ,0.00
201207    ,0.85   ,-1.62   ,-1.05    ,0.00
201208    ,2.78   ,-0.32    ,0.84    ,0.01
201209    ,3.08    ,1.13    ,1.17    ,0.01
201210   ,-0.43   ,-0.76    ,2.26    ,0.01
