200408    ,0.70   ,-0.32    ,1.08    ,0.11
200409    ,2.58   ,-0.29    ,0.62    ,0.11
200410    ,3.75   ,-0.07    ,0.22    ,0.11
200411    ,6.10    ,0.59    ,0.90    ,0.15
200412    ,4.13   ,-0.33    ,1.04    ,0.16
200501   ,-1.28    ,4.01    ,1.06    ,0.16
200502    ,3.93    ,0.36    ,1.18    ,0.16
200503   ,-2.13    ,0.25    ,1.50    ,0.21
200504   ,-2.57    ,0.23    ,0.31    ,0.21
200505   ,-0.50   ,-1.93    ,0.80    ,0.24
200506    ,1.88    ,0.92    ,0.69    ,0.23
200507    ,3.18   ,-0.14    ,0.91    ,0.24
200508    ,3.17    ,0.22   ,-0.39    ,0.30
200509    ,3.49   ,-1.29    ,0.47    ,0.29
200510   ,-3.29    ,0.87    ,0.73    ,0.27
200511    ,2.17    ,0.01   ,-0.75    ,0.31
200512    ,5.11    ,2.53   ,-1.86    ,0.32
200601    ,5.74    ,0.59    ,1.44    ,0.35
200602   ,-0.52   ,-0.84    ,2.31    ,0.34
200603    ,3.27    ,0.67    ,0.15    ,0.37
200604    ,4.59    ,0.18   ,-0.04    ,0.36
200605   ,-4.67   ,-1.57    ,0.58    ,0.43
200606   ,-0.79   ,-2.24   ,-0.16    ,0.40
200607    ,0.18   ,-2.78    ,2.18    ,0.40
200608    ,2.46   ,-0.23   ,-0.42    ,0.42
200609   ,-0.39   ,-1.03    ,0.83    ,0.41
200610    ,3.46   ,-0.68   ,-0.16    ,0.41
200611    ,2.71    ,0.12    ,0.45    ,0.42
200612    ,2.66   ,-0.40    ,0.45    ,0.40
200701    ,0.61    ,1.74    ,1.06    ,0.44
200702    ,0.55    ,1.18    ,0.81    ,0.38
200703    ,2.49    ,0.04    ,0.69    ,0.43
200704    ,3.75   ,-0.17    ,1.59    ,0.44
200705    ,1.92   ,-0.60    ,0.85    ,0.41
200706    ,0.01    ,1.21    ,0.30    ,0.40
200707   ,-1.41    ,1.71    ,0.01    ,0.40
200708   ,-2.61   ,-4.82    ,0.41    ,0.42
200709    ,5.29   ,-2.15   ,-1.41    ,0.32
200710    ,4.31    ,0.77   ,-2.70    ,0.32
200711   ,-4.62   ,-3.70   ,-0.47    ,0.34
200712   ,-2.05   ,-0.90    ,1.61    ,0.27
200801   ,-8.88   ,-0.79    ,1.51    ,0.21
200802    ,2.09    ,2.42   ,-1.12    ,0.13
200803   ,-1.54   ,-1.56    ,2.99    ,0.17
200804    ,5.17   ,-3.33   ,-0.69    ,0.18
200805    ,1.76    ,1.31   ,-1.36    ,0.18
200806   ,-7.91    ,1.55    ,0.25    ,0.17
200807   ,-4.08   ,-2.09    ,2.17    ,0.15
200808   ,-4.58   ,-1.69    ,0.49    ,0.13
200809  ,-14.45   ,-1.18    ,2.02    ,0.15
200810  ,-21.13   ,-1.56   ,-0.38    ,0.08
200811   ,-5.45    ,0.72    ,0.21    ,0.03
200812    ,6.64    ,0.64    ,0.60    ,0.00
200901   ,-9.01    ,4.62   ,-2.45    ,0.00
200902   ,-9.97    ,1.76   ,-3.34    ,0.01
200903    ,6.08   ,-2.02   ,-0.61    ,0.02
200904   ,12.41   ,-1.56    ,2.99    ,0.01
200905   ,13.69    ,2.84   ,-1.10    ,0.00
200906   ,-0.77    ,2.89    ,0.06    ,0.01
200907    ,9.28   ,-3.30    ,3.63    ,0.01
200908    ,4.21    ,2.05    ,3.74    ,0.01
200909    ,4.64    ,1.37   ,-0.16    ,0.01
200910   ,-1.84    ,1.49   ,-1.17    ,0.00
200911    ,2.32   ,-1.86   ,-1.68    ,0.00
200912    ,1.24   ,-1.55    ,1.04    ,0.01
201001   ,-4.01    ,3.83   ,-0.66    ,0.00
201002   ,-0.22    ,0.14   ,-1.13    ,0.00
201003    ,6.32   ,-1.30    ,4.10    ,0.01
201004   ,-0.65    ,4.23   ,-0.13    ,0.01
201005  ,-10.71    ,0.29   ,-2.54    ,0.01
201006   ,-1.23    ,0.44   ,-2.06    ,0.01
201007    ,9.24   ,-2.76    ,2.41    ,0.01
201008   ,-3.27    ,0.83   ,-2.32    ,0.01
201009   ,10.01    ,0.48   ,-0.63    ,0.01
201010    ,3.99   ,-0.54   ,-0.56    ,0.01
201011   ,-4.29    ,2.96   ,-1.89    ,0.01
201012    ,8.27    ,2.11    ,1.09    ,0.01
201101    ,2.13   ,-1.02    ,4.26    ,0.01
201102    ,3.42   ,-0.40   ,-0.29    ,0.01
201103   ,-1.60    ,0.90   ,-1.30    ,0.01
201104    ,5.70   ,-1.66   ,-1.25    ,0.00
201105   ,-2.77   ,-0.11   ,-0.80    ,0.00
201106   ,-1.38   ,-0.66    ,1.37    ,0.00
201107   ,-1.18    ,2.44   ,-2.46    ,0.00
201108   ,-8.57    ,1.37   ,-2.42    ,0.01
201109  ,-10.33   ,-0.14    ,2.12    ,0.00
201110    ,8.75   ,-3.98   ,-2.54    ,0.00
201111   ,-4.62   ,-0.24   ,-1.29    ,0.00
201112   ,-1.30    ,0.02    ,0.87    ,0.00
201201    ,6.02    ,1.66    ,0.91    ,0.00
201202    ,5.35   ,-0.50   ,-0.11    ,0.00
201203   ,-0.25    ,0.31   ,-0.17    ,0.00
201204   ,-1.45    ,0.86   ,-2.28    ,0.00
201205  ,-11.24    ,0.68   ,-0.30    ,0.01
201206    ,5.81   ,-3.81    ,2.33    ,0.00
201207    ,0.79   ,-0.89   ,-1.92    ,0.00
